ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
153,ampere_sgemm_128x128_nt,98.48,108,31.89,3.94,23.45,25,0.04,78.56
154,reduce_kernel,9.60,108,31.81,31.81,41.08,62.50,8.27,7.49
155,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.22,100,0,90.60
156,vectorized_elementwise_kernel,7.13,108,43.93,36.91,73.10,100,0,51.20
157,vectorized_elementwise_kernel,6.42,108,86.97,86.97,91.87,100,0,48.98
158,vectorized_elementwise_kernel,6.47,108,87.14,87.14,92.06,100,0,48.51
159,vectorized_elementwise_kernel,7.84,108,86.76,86.76,92.04,100,0,48.72
160,vectorized_elementwise_kernel,8.54,108,84.21,84.21,88.54,100,0,61.73
161,vectorized_elementwise_kernel,8.57,108,83.78,83.78,88.59,100,0,61.63
162,vectorized_elementwise_kernel,8.56,108,83.86,83.86,88.40,100,0,61.89
163,vectorized_elementwise_kernel,8.57,108,84.68,84.68,89.34,100,0,61.86
164,vectorized_elementwise_kernel,6.44,108,86.96,86.96,92.47,100,0,48.91
165,vectorized_elementwise_kernel,6.44,108,86.07,86.07,91.96,100,27.57,44.33
166,vectorized_elementwise_kernel,8.60,108,83.83,83.83,88.53,100,0,61.53
167,vectorized_elementwise_kernel,6.44,108,85.92,85.92,91.82,100,27.48,44.17
168,ampere_sgemm_128x32_tn,88.99,108,80.24,2.37,45.64,50,0.13,97.00
169,ampere_sgemm_64x32_sliced1x4_nt,92.91,108,52.98,6.37,23.89,25,0.08,82.56
170,reduce_kernel,11.07,108,58.25,58.25,60.01,62.50,4.90,20.90
171,vectorized_elementwise_kernel,0.04,108,0.61,0.21,6.19,100,0,87.51
172,vectorized_elementwise_kernel,7.11,108,44.93,37.71,73.22,100,0,51.96
173,layer_norm_grad_input_kernel_vectorized,37.30,108,65.32,65.32,65.05,75,44.39,53.97
174,GammaBetaBackwardCUDAKernel_32x32,11.86,108,38.01,38.01,49.91,100,0.09,18.33
175,vectorized_elementwise_kernel,6.45,108,71.82,71.82,87.98,100,28.11,41.30
176,vectorized_elementwise_kernel,0.02,108,0.41,0.08,6.18,100,0,89.46
177,vectorized_elementwise_kernel,0.02,108,0.44,0.08,6.19,100,0,91.11
178,vectorized_elementwise_kernel,15.31,108,68.60,68.60,85.43,100,0,54.16
179,ampere_sgemm_128x32_tn,87.75,108,80.19,2.45,45.64,50,0.52,97.42
180,ampere_sgemm_64x32_sliced1x4_nt,82.12,108,46.80,5.98,20.82,25,0.07,81.39
181,reduce_kernel,8.88,108,32.15,32.15,41.69,62.50,8.31,7.25
182,vectorized_elementwise_kernel,0.02,108,0.44,0.08,6.21,100,0,91.72
183,vectorized_elementwise_kernel,3.90,108,22.42,18.10,42.32,100,0,53.59
184,vectorized_elementwise_kernel,6.29,108,75.36,75.36,88.39,100,0,46.23
185,reduce_kernel,75.60,108,23.95,23.95,90.12,100,10.44,8.65
186,elementwise_kernel,6.11,108,12.47,3.21,20.34,100,0,86.50
187,vectorized_elementwise_kernel,14.21,108,24.18,4.37,9.09,100,0,98.99
188,fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80,36.51,108,29.79,11.78,12.13,12.50,17.08,81.38
189,CatArrayBatchedCopy_aligned16_contig,57.67,108,74.91,74.91,90.85,100,60.00,62.70
190,ampere_sgemm_128x32_tn,88.75,108,80.13,2.21,45.65,50,0.18,97.19
191,ampere_sgemm_128x32_sliced1x4_nt,98.07,108,40.39,4.94,12.50,12.50,0,85.06
192,reduce_kernel,11.78,108,52.06,52.06,58.84,62.50,6.38,19.91
193,vectorized_elementwise_kernel,0.04,108,0.56,0.18,6.20,100,0,91.69
194,vectorized_elementwise_kernel,6.57,108,38.78,32.38,66.55,100,0,51.82
195,layer_norm_grad_input_kernel_vectorized,37.04,108,65.21,65.21,65.34,75,44.56,53.43
196,GammaBetaBackwardCUDAKernel_32x32,12.16,108,38.22,38.22,49.91,100,0.09,18.78
197,vectorized_elementwise_kernel,6.43,108,71.35,71.35,87.44,100,29.17,40.76
198,vectorized_elementwise_kernel,0.02,108,0.40,0.08,6.19,100,0,90.56
199,vectorized_elementwise_kernel,0.02,108,0.45,0.08,6.20,100,0,91.13
200,vectorized_elementwise_kernel,15.29,108,68.47,68.47,85.12,100,0,54.25
201,ampere_sgemm_128x64_tn,95.87,108,48.16,2.06,23.96,25,0.36,98.84
202,ampere_sgemm_128x128_nt,98.51,108,31.90,3.95,23.45,25,0.04,78.53
203,reduce_kernel,9.29,108,32.49,32.49,41.04,62.50,8.29,7.00
