Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
unrolled_elementwise_kernel,0.38,5.57,0.23,5.85,100,0,93.63
unrolled_elementwise_kernel,0.15,5.82,0.16,6.42,100,0,96.65
unrolled_elementwise_kernel,0.40,5.84,0.24,5.79,100,0,92.93
unrolled_elementwise_kernel,0.40,5.85,0.24,6.23,100,0,94.80
unrolled_elementwise_kernel,0.21,5.97,0.18,6.36,100,0,95.89
unrolled_elementwise_kernel,0.41,5.94,0.25,6.19,100,0,92.80
unrolled_elementwise_kernel,0.40,5.91,0.25,6.23,100,0,92.93
unrolled_elementwise_kernel,0.40,5.85,0.24,6.38,100,0,93.83
unrolled_elementwise_kernel,0.40,5.85,0.24,6.16,100,0,94.88
unrolled_elementwise_kernel,0.16,6.13,0.17,6.26,100,0,95.75
unrolled_elementwise_kernel,0.40,5.93,0.25,6.28,100,0,94.01
unrolled_elementwise_kernel,0.41,6.03,0.25,6.17,100,0,95.86
unrolled_elementwise_kernel,0.20,5.76,0.18,6.17,100,0,94.99
unrolled_elementwise_kernel,0.41,5.92,0.25,6.28,100,0,94.00
unrolled_elementwise_kernel,0.41,6.04,0.25,6.35,100,0,94.84
unrolled_elementwise_kernel,0.38,5.59,0.23,6.42,100,0,94.59
unrolled_elementwise_kernel,0.39,5.75,0.23,6.19,100,0,96.02
unrolled_elementwise_kernel,0.16,6.19,0.17,6.62,100,0,96.71
unrolled_elementwise_kernel,0.39,5.84,0.24,6.26,100,0,96.89
unrolled_elementwise_kernel,0.39,5.88,0.24,6.60,100,0,96.03
unrolled_elementwise_kernel,0.20,5.94,0.18,6.17,100,0,94.85
unrolled_elementwise_kernel,0.41,6.10,0.25,6.28,100,0,94.20
unrolled_elementwise_kernel,0.39,5.75,0.24,6.34,100,0,93.22
unrolled_elementwise_kernel,0.41,6.16,0.25,6.14,100,0,95.74
unrolled_elementwise_kernel,0.39,5.77,0.24,6.24,100,0,92.75
unrolled_elementwise_kernel,0.16,6.17,0.17,6.19,100,0,95.99
unrolled_elementwise_kernel,0.40,5.91,0.25,6.25,100,0,95.06
unrolled_elementwise_kernel,0.39,5.72,0.24,6.26,100,0,94.16
unrolled_elementwise_kernel,0.20,5.84,0.18,6.12,100,0,94.29
unrolled_elementwise_kernel,0.42,6.09,0.25,6.17,100,0,93.99
unrolled_elementwise_kernel,0.40,5.91,0.25,6.38,100,0,93.98
unrolled_elementwise_kernel,0.39,5.66,0.24,6.08,100,0,93.20
unrolled_elementwise_kernel,0.40,5.78,0.24,6.08,100,0,93.03
unrolled_elementwise_kernel,0.16,6.15,0.17,6.32,100,0,95.53
unrolled_elementwise_kernel,0.41,6.02,0.25,6.08,100,0,93.62
unrolled_elementwise_kernel,0.41,5.98,0.25,6.27,100,0,93.52
unrolled_elementwise_kernel,0.21,6.00,0.18,6.28,100,0,96.02
unrolled_elementwise_kernel,0.40,5.85,0.24,6.05,100,0,94.72
unrolled_elementwise_kernel,0.40,5.93,0.24,6.34,100,0,94.18
unrolled_elementwise_kernel,0.41,5.96,0.25,6.27,100,0,93.23
unrolled_elementwise_kernel,0.39,5.63,0.24,6.22,100,0,93.17
