Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
distribution_elementwise_grid_stride_kernel,70.02,14.99,1.77,57.17,75,45.83,99.89
distribution_elementwise_grid_stride_kernel,65.35,13.74,0.01,57.27,75,45.97,100.33
distribution_elementwise_grid_stride_kernel,44.67,9.09,0.03,58.89,75,47.41,101.24
vectorized_elementwise_kernel,0.03,11.80,0.04,6.18,100,0,100.54
distribution_elementwise_grid_stride_kernel,52.24,8.55,0.02,60.11,75,46.86,100.70
vectorized_elementwise_kernel,0.01,11.09,0.03,6.24,100,50,100.88
vectorized_elementwise_kernel,0.01,11.88,0.04,5.17,100,50,100.55
vectorized_elementwise_kernel,0.03,11.56,0.04,8.36,100,0,99.34
distribution_elementwise_grid_stride_kernel,70.30,15.03,1.79,57.21,75,45.82,100.02
distribution_elementwise_grid_stride_kernel,64.80,13.60,0.03,57.38,75,45.90,100.56
distribution_elementwise_grid_stride_kernel,44.95,9.28,0.03,57.17,75,47.38,100.30
vectorized_elementwise_kernel,0.03,11.79,0.04,6.20,100,0,99.99
distribution_elementwise_grid_stride_kernel,52.57,8.76,0.02,58.42,75,46.83,100.00
vectorized_elementwise_kernel,0.01,11.09,0.03,5.13,100,50,98.21
vectorized_elementwise_kernel,0.01,11.58,0.04,6.20,100,50,98.15
vectorized_elementwise_kernel,0.03,11.09,0.03,6.21,100,0,100.81
distribution_elementwise_grid_stride_kernel,69.38,14.83,1.48,57.17,75,45.81,100.21
distribution_elementwise_grid_stride_kernel,65.40,13.70,0.01,57.35,75,45.94,99.57
distribution_elementwise_grid_stride_kernel,44.55,9.65,0.03,59.21,75,47.33,99.10
vectorized_elementwise_kernel,0.02,9.71,0.03,6.64,100,0,100.35
distribution_elementwise_grid_stride_kernel,52.42,8.92,0.03,58.60,75,46.79,100.98
vectorized_elementwise_kernel,0.01,11.05,0.03,7.59,100,33.33,99.46
vectorized_elementwise_kernel,0.01,11.62,0.04,6.33,100,50,99.43
vectorized_elementwise_kernel,0.03,11.72,0.04,6.22,100,0,99.65
distribution_elementwise_grid_stride_kernel,70.27,15.01,1.66,57.12,75,45.88,99.52
distribution_elementwise_grid_stride_kernel,65.54,13.73,0.01,57.62,75,45.99,98.95
distribution_elementwise_grid_stride_kernel,44.23,9.51,0.03,60.02,75,46.75,98.72
vectorized_elementwise_kernel,0.03,11.59,0.04,6.33,100,0,99.58
distribution_elementwise_grid_stride_kernel,52.44,9.16,0.02,58.53,75,46.93,99.58
vectorized_elementwise_kernel,0.01,11.07,0.03,5.39,100,50,98.13
vectorized_elementwise_kernel,0.01,11.63,0.04,6.24,100,50,99.47
vectorized_elementwise_kernel,0.03,11.76,0.04,5.09,100,0,99.64
distribution_elementwise_grid_stride_kernel,70.36,15.04,1.63,56.90,75,45.85,99.67
distribution_elementwise_grid_stride_kernel,65.43,13.70,0.01,57.51,75,45.92,99.24
unrolled_elementwise_kernel,8.53,9.79,5.55,22.98,100,14.12,65.84
unrolled_elementwise_kernel,8.43,9.67,5.50,24.25,100,14.25,66.35
unrolled_elementwise_kernel,8.38,9.69,5.47,22.67,100,14.46,65.90
unrolled_elementwise_kernel,8.36,9.58,5.45,23.44,100,14.18,64.41
unrolled_elementwise_kernel,8.54,9.89,5.58,23.71,100,14.34,66.00
unrolled_elementwise_kernel,8.52,9.78,5.57,23.60,100,14.36,64.87
vectorized_elementwise_kernel,23.72,84.40,84.40,41.88,100,0,99.79
vectorized_elementwise_kernel,24.06,90.96,90.96,55.19,100,0,100.40
unrolled_elementwise_kernel,54.78,48.78,48.78,92.46,100,0,68.33
unrolled_elementwise_kernel,28.68,20.14,9.46,86.01,100,0,71.62
unrolled_elementwise_kernel,32.99,22.24,10.86,71.04,100,0,70.10
unrolled_elementwise_kernel,8.42,8.77,2.84,22.79,100,0,80.52
unrolled_elementwise_kernel,28.29,19.84,9.35,86.01,100,0,71.58
unrolled_elementwise_kernel,31.44,21.16,10.36,71.07,100,0,70.79
unrolled_elementwise_kernel,8.22,8.57,2.76,22.74,100,0,79.37
unrolled_elementwise_kernel,28.52,20.04,9.39,82.54,100,0,72.01
unrolled_elementwise_kernel,31.67,21.33,10.45,71.06,100,0,71.25
unrolled_elementwise_kernel,8.17,8.44,2.75,22.33,100,0,79.29
unrolled_elementwise_kernel,28.97,20.30,9.57,77.57,100,0,71.67
unrolled_elementwise_kernel,32.35,21.84,10.68,74.98,100,0,71.89
unrolled_elementwise_kernel,8.45,8.73,2.85,22.86,100,0,78.69
unrolled_elementwise_kernel,28.74,20.20,9.47,78.80,100,0,73.16
unrolled_elementwise_kernel,32.35,21.79,10.67,71.24,100,0,71.56
